pair,listener,condition,prop_target_fix,prop_compet_fix,num_trials,numtNA,numcNA
3,5,Two Contrasts Shared,0.8,0.4,30,0,0
3,5,Two Contrasts Privileged,0.9375,0.1875,16,0,0
3,5,One Contrast,1,0.4,15,0,0
3,6,Two Contrasts Shared,0.8620689655172413,0.5517241379310345,29,0,0
3,6,Two Contrasts Privileged,0.8461538461538461,0.6153846153846154,13,0,0
3,6,One Contrast,1,0.3333333333333333,15,0,0
4,7,Two Contrasts Shared,0.7857142857142857,0.5357142857142857,28,0,0
4,7,Two Contrasts Privileged,0.8666666666666667,0.26666666666666666,15,0,0
4,7,One Contrast,0.7333333333333333,0.4,15,0,0
4,8,Two Contrasts Shared,0.7727272727272727,0.5,22,0,0
4,8,Two Contrasts Privileged,1,0.2,10,0,0
4,8,One Contrast,0.7272727272727273,0.36363636363636365,11,0,0
5,9,Two Contrasts Shared,0.8,0.6,20,0,0
5,9,Two Contrasts Privileged,0.8666666666666667,0.4,15,0,0
5,9,One Contrast,0.6875,0.375,16,0,0
5,10,Two Contrasts Shared,0.7741935483870968,0.5806451612903226,31,0,0
5,10,Two Contrasts Privileged,0.75,0.4166666666666667,12,0,0
5,10,One Contrast,1,0.38461538461538464,13,0,0
6,11,Two Contrasts Shared,0.64,0.48,25,0,0
6,11,Two Contrasts Privileged,0.9285714285714286,0.2857142857142857,14,0,0
6,11,One Contrast,0.8461538461538461,0.5384615384615384,13,0,0
6,12,Two Contrasts Shared,0.6785714285714286,0.35714285714285715,28,0,0
6,12,Two Contrasts Privileged,0.6666666666666666,0.4666666666666667,15,0,0
6,12,One Contrast,0.42857142857142855,0.35714285714285715,14,0,0
7,13,Two Contrasts Shared,0.6451612903225806,0.45161290322580644,31,0,0
7,13,Two Contrasts Privileged,0.6666666666666666,0.3333333333333333,15,0,0
7,13,One Contrast,0.8125,0.1875,16,0,0
7,14,Two Contrasts Shared,0.8333333333333334,0.6333333333333333,30,0,0
7,14,Two Contrasts Privileged,0.9333333333333333,0.6,15,0,0
7,14,One Contrast,0.8571428571428571,0.35714285714285715,14,0,0
8,15,Two Contrasts Shared,0.8571428571428571,0.32142857142857145,28,0,0
8,15,Two Contrasts Privileged,0.9375,0.5,16,0,0
8,15,One Contrast,0.8666666666666667,0.4666666666666667,15,0,0
8,16,Two Contrasts Shared,0.75,0.39285714285714285,28,0,0
8,16,Two Contrasts Privileged,0.8461538461538461,0.46153846153846156,13,0,0
8,16,One Contrast,0.8571428571428571,0.2857142857142857,14,0,0
