pair,listener,crit_half,crit_order_bin,condition,prop_target_fix,prop_compet_fix,num_trials,numtNA,numcNA
3,5,firsthalf,1,Two Contrasts Shared,0.7142857142857143,0.5714285714285714,7,0,0
3,5,firsthalf,1,Two Contrasts Privileged,0.6666666666666666,0.3333333333333333,3,0,0
3,5,firsthalf,1,One Contrast,1,0.3333333333333333,3,0,0
3,5,firsthalf,2,Two Contrasts Shared,0.7142857142857143,0.2857142857142857,7,0,0
3,5,firsthalf,2,Two Contrasts Privileged,1,0.25,4,0,0
3,5,firsthalf,2,One Contrast,1,0,4,0,0
3,5,secondhalf,3,Two Contrasts Shared,0.875,0.25,8,0,0
3,5,secondhalf,3,Two Contrasts Privileged,1,0,4,0,0
3,5,secondhalf,3,One Contrast,1,0.75,4,0,0
3,5,secondhalf,4,Two Contrasts Shared,0.875,0.5,8,0,0
3,5,secondhalf,4,Two Contrasts Privileged,1,0.2,5,0,0
3,5,secondhalf,4,One Contrast,1,0.5,4,0,0
3,6,firsthalf,1,Two Contrasts Shared,1,0.5714285714285714,7,0,0
3,6,firsthalf,1,Two Contrasts Privileged,0.6666666666666666,0.6666666666666666,3,0,0
3,6,firsthalf,1,One Contrast,1,0.6666666666666666,3,0,0
3,6,firsthalf,2,Two Contrasts Shared,0.8571428571428571,0.7142857142857143,7,0,0
3,6,firsthalf,2,Two Contrasts Privileged,1,0.3333333333333333,3,0,0
3,6,firsthalf,2,One Contrast,1,0.5,4,0,0
3,6,secondhalf,3,Two Contrasts Shared,0.8571428571428571,0.5714285714285714,7,0,0
3,6,secondhalf,3,Two Contrasts Privileged,0.6666666666666666,0.6666666666666666,3,0,0
3,6,secondhalf,3,One Contrast,1,0,4,0,0
3,6,secondhalf,4,Two Contrasts Shared,0.75,0.375,8,0,0
3,6,secondhalf,4,Two Contrasts Privileged,1,0.75,4,0,0
3,6,secondhalf,4,One Contrast,1,0.25,4,0,0
4,7,firsthalf,1,Two Contrasts Shared,0.8333333333333334,0.5,6,0,0
4,7,firsthalf,1,Two Contrasts Privileged,1,0.3333333333333333,3,0,0
4,7,firsthalf,1,One Contrast,1,0.3333333333333333,3,0,0
4,7,firsthalf,2,Two Contrasts Shared,0.8571428571428571,0.5714285714285714,7,0,0
4,7,firsthalf,2,Two Contrasts Privileged,0.5,0.25,4,0,0
4,7,firsthalf,2,One Contrast,0.75,0.5,4,0,0
4,7,secondhalf,3,Two Contrasts Shared,0.7142857142857143,0.5714285714285714,7,0,0
4,7,secondhalf,3,Two Contrasts Privileged,1,0.25,4,0,0
4,7,secondhalf,3,One Contrast,0.75,0.25,4,0,0
4,7,secondhalf,4,Two Contrasts Shared,0.75,0.5,8,0,0
4,7,secondhalf,4,Two Contrasts Privileged,1,0.25,4,0,0
4,7,secondhalf,4,One Contrast,0.5,0.5,4,0,0
4,8,firsthalf,1,Two Contrasts Shared,0.6,0.6,5,0,0
4,8,firsthalf,1,Two Contrasts Privileged,1,0,2,0,0
4,8,firsthalf,1,One Contrast,0.5,1,2,0,0
4,8,firsthalf,2,Two Contrasts Shared,1,0,5,0,0
4,8,firsthalf,2,Two Contrasts Privileged,1,0.5,2,0,0
4,8,firsthalf,2,One Contrast,0.3333333333333333,0,3,0,0
4,8,secondhalf,3,Two Contrasts Shared,0.8333333333333334,0.5,6,0,0
4,8,secondhalf,3,Two Contrasts Privileged,1,0,3,0,0
4,8,secondhalf,3,One Contrast,1,0.6666666666666666,3,0,0
4,8,secondhalf,4,Two Contrasts Shared,0.6666666666666666,0.8333333333333334,6,0,0
4,8,secondhalf,4,Two Contrasts Privileged,1,0.3333333333333333,3,0,0
4,8,secondhalf,4,One Contrast,1,0,3,0,0
5,9,firsthalf,1,Two Contrasts Shared,1,0.25,4,0,0
5,9,firsthalf,1,Two Contrasts Privileged,1,0.3333333333333333,3,0,0
5,9,firsthalf,1,One Contrast,1,0.3333333333333333,3,0,0
5,9,firsthalf,2,Two Contrasts Shared,0.8,0.6,5,0,0
5,9,firsthalf,2,Two Contrasts Privileged,0.75,0.25,4,0,0
5,9,firsthalf,2,One Contrast,0.5,0.5,4,0,0
5,9,secondhalf,3,Two Contrasts Shared,0.6,1,5,0,0
5,9,secondhalf,3,Two Contrasts Privileged,0.75,0.5,4,0,0
5,9,secondhalf,3,One Contrast,0.5,0.25,4,0,0
5,9,secondhalf,4,Two Contrasts Shared,0.8333333333333334,0.5,6,0,0
5,9,secondhalf,4,Two Contrasts Privileged,1,0.5,4,0,0
5,9,secondhalf,4,One Contrast,0.8,0.4,5,0,0
5,10,firsthalf,1,Two Contrasts Shared,0.7142857142857143,0.5714285714285714,7,0,0
5,10,firsthalf,1,Two Contrasts Privileged,0.5,0.5,2,0,0
5,10,firsthalf,1,One Contrast,1,0.3333333333333333,3,0,0
5,10,firsthalf,2,Two Contrasts Shared,0.625,0.625,8,0,0
5,10,firsthalf,2,Two Contrasts Privileged,1,0.3333333333333333,3,0,0
5,10,firsthalf,2,One Contrast,1,0.3333333333333333,3,0,0
5,10,secondhalf,3,Two Contrasts Shared,0.875,0.75,8,0,0
5,10,secondhalf,3,Two Contrasts Privileged,0.6666666666666666,0.6666666666666666,3,0,0
5,10,secondhalf,3,One Contrast,1,0.6666666666666666,3,0,0
5,10,secondhalf,4,Two Contrasts Shared,0.875,0.375,8,0,0
5,10,secondhalf,4,Two Contrasts Privileged,0.75,0.25,4,0,0
5,10,secondhalf,4,One Contrast,1,0.25,4,0,0
6,11,firsthalf,1,Two Contrasts Shared,0.8333333333333334,0.5,6,0,0
6,11,firsthalf,1,Two Contrasts Privileged,1,0.3333333333333333,3,0,0
6,11,firsthalf,1,One Contrast,1,0,3,0,0
6,11,firsthalf,2,Two Contrasts Shared,0.8333333333333334,0.3333333333333333,6,0,0
6,11,firsthalf,2,Two Contrasts Privileged,1,0.3333333333333333,3,0,0
6,11,firsthalf,2,One Contrast,0.6666666666666666,0.6666666666666666,3,0,0
6,11,secondhalf,3,Two Contrasts Shared,0.3333333333333333,1,6,0,0
6,11,secondhalf,3,Two Contrasts Privileged,1,0.25,4,0,0
6,11,secondhalf,3,One Contrast,1,1,3,0,0
6,11,secondhalf,4,Two Contrasts Shared,0.5714285714285714,0.14285714285714285,7,0,0
6,11,secondhalf,4,Two Contrasts Privileged,0.75,0.25,4,0,0
6,11,secondhalf,4,One Contrast,0.75,0.5,4,0,0
6,12,firsthalf,1,Two Contrasts Shared,0.5,0.6666666666666666,6,0,0
6,12,firsthalf,1,Two Contrasts Privileged,1,0.3333333333333333,3,0,0
6,12,firsthalf,1,One Contrast,0.6666666666666666,0.6666666666666666,3,0,0
6,12,firsthalf,2,Two Contrasts Shared,0.8571428571428571,0.42857142857142855,7,0,0
6,12,firsthalf,2,Two Contrasts Privileged,0.75,0.25,4,0,0
6,12,firsthalf,2,One Contrast,0.3333333333333333,0,3,0,0
6,12,secondhalf,3,Two Contrasts Shared,0.5714285714285714,0.42857142857142855,7,0,0
6,12,secondhalf,3,Two Contrasts Privileged,0.25,0.75,4,0,0
6,12,secondhalf,3,One Contrast,0.5,0.25,4,0,0
6,12,secondhalf,4,Two Contrasts Shared,0.75,0,8,0,0
6,12,secondhalf,4,Two Contrasts Privileged,0.75,0.5,4,0,0
6,12,secondhalf,4,One Contrast,0.25,0.5,4,0,0
7,13,firsthalf,1,Two Contrasts Shared,0.5714285714285714,0.7142857142857143,7,0,0
7,13,firsthalf,1,Two Contrasts Privileged,0.6666666666666666,0.3333333333333333,3,0,0
7,13,firsthalf,1,One Contrast,1,0,3,0,0
7,13,firsthalf,2,Two Contrasts Shared,0.625,0.5,8,0,0
7,13,firsthalf,2,Two Contrasts Privileged,1,0.25,4,0,0
7,13,firsthalf,2,One Contrast,1,0,4,0,0
7,13,secondhalf,3,Two Contrasts Shared,0.625,0.375,8,0,0
7,13,secondhalf,3,Two Contrasts Privileged,0.75,0.25,4,0,0
7,13,secondhalf,3,One Contrast,0.75,0.25,4,0,0
7,13,secondhalf,4,Two Contrasts Shared,0.75,0.25,8,0,0
7,13,secondhalf,4,Two Contrasts Privileged,0.25,0.5,4,0,0
7,13,secondhalf,4,One Contrast,0.6,0.4,5,0,0
7,14,firsthalf,1,Two Contrasts Shared,0.7142857142857143,0.7142857142857143,7,0,0
7,14,firsthalf,1,Two Contrasts Privileged,1,0.3333333333333333,3,0,0
7,14,firsthalf,1,One Contrast,1,0.6666666666666666,3,0,0
7,14,firsthalf,2,Two Contrasts Shared,1,0.42857142857142855,7,0,0
7,14,firsthalf,2,Two Contrasts Privileged,1,0.75,4,0,0
7,14,firsthalf,2,One Contrast,0.6666666666666666,0.3333333333333333,3,0,0
7,14,secondhalf,3,Two Contrasts Shared,1,0.5,8,0,0
7,14,secondhalf,3,Two Contrasts Privileged,0.75,0.75,4,0,0
7,14,secondhalf,3,One Contrast,0.75,0.5,4,0,0
7,14,secondhalf,4,Two Contrasts Shared,0.625,0.875,8,0,0
7,14,secondhalf,4,Two Contrasts Privileged,1,0.5,4,0,0
7,14,secondhalf,4,One Contrast,1,0,4,0,0
8,15,firsthalf,1,Two Contrasts Shared,0.8333333333333334,0.3333333333333333,6,0,0
8,15,firsthalf,1,Two Contrasts Privileged,1,0.6666666666666666,3,0,0
8,15,firsthalf,1,One Contrast,0.6666666666666666,0,3,0,0
8,15,firsthalf,2,Two Contrasts Shared,0.8571428571428571,0.2857142857142857,7,0,0
8,15,firsthalf,2,Two Contrasts Privileged,1,0.25,4,0,0
8,15,firsthalf,2,One Contrast,1,0.25,4,0,0
8,15,secondhalf,3,Two Contrasts Shared,1,0.42857142857142855,7,0,0
8,15,secondhalf,3,Two Contrasts Privileged,0.75,1,4,0,0
8,15,secondhalf,3,One Contrast,0.75,0.5,4,0,0
8,15,secondhalf,4,Two Contrasts Shared,0.75,0.25,8,0,0
8,15,secondhalf,4,Two Contrasts Privileged,1,0.2,5,0,0
8,15,secondhalf,4,One Contrast,1,1,4,0,0
8,16,firsthalf,1,Two Contrasts Shared,0.8333333333333334,0.6666666666666666,6,0,0
8,16,firsthalf,1,Two Contrasts Privileged,1,0.6666666666666666,3,0,0
8,16,firsthalf,1,One Contrast,1,0.3333333333333333,3,0,0
8,16,firsthalf,2,Two Contrasts Shared,0.8571428571428571,0.5714285714285714,7,0,0
8,16,firsthalf,2,Two Contrasts Privileged,0.6666666666666666,0,3,0,0
8,16,firsthalf,2,One Contrast,0.6666666666666666,0.3333333333333333,3,0,0
8,16,secondhalf,3,Two Contrasts Shared,0.5714285714285714,0.2857142857142857,7,0,0
8,16,secondhalf,3,Two Contrasts Privileged,0.6666666666666666,0.3333333333333333,3,0,0
8,16,secondhalf,3,One Contrast,1,0.25,4,0,0
8,16,secondhalf,4,Two Contrasts Shared,0.75,0.125,8,0,0
8,16,secondhalf,4,Two Contrasts Privileged,1,0.75,4,0,0
8,16,secondhalf,4,One Contrast,0.75,0.25,4,0,0
9,17,firsthalf,1,Two Contrasts Shared,1,0.4,5,0,0
9,17,firsthalf,1,Two Contrasts Privileged,1,0,3,0,0
9,17,firsthalf,1,One Contrast,1,0,3,0,0
9,17,firsthalf,2,Two Contrasts Shared,1,0.6666666666666666,6,0,0
9,17,firsthalf,2,Two Contrasts Privileged,0.75,0.75,4,0,0
9,17,firsthalf,2,One Contrast,1,0,4,0,0
9,17,secondhalf,3,Two Contrasts Shared,0.8333333333333334,0.5,6,0,0
9,17,secondhalf,3,Two Contrasts Privileged,1,0.75,4,0,0
9,17,secondhalf,3,One Contrast,0.5,0.25,4,0,0
9,17,secondhalf,4,Two Contrasts Shared,1,0.5714285714285714,7,0,0
9,17,secondhalf,4,Two Contrasts Privileged,1,0.5,4,0,0
9,17,secondhalf,4,One Contrast,0.25,0.25,4,0,0
9,18,firsthalf,1,Two Contrasts Shared,0.5,0.5,6,0,0
9,18,firsthalf,1,Two Contrasts Privileged,0.6666666666666666,0.6666666666666666,3,0,0
9,18,firsthalf,1,One Contrast,1,0,3,0,0
9,18,firsthalf,2,Two Contrasts Shared,0.8333333333333334,0.5,6,0,0
9,18,firsthalf,2,Two Contrasts Privileged,1,1,4,0,0
9,18,firsthalf,2,One Contrast,0.75,1,4,0,0
9,18,secondhalf,3,Two Contrasts Shared,0.42857142857142855,0.5714285714285714,7,0,0
9,18,secondhalf,3,Two Contrasts Privileged,1,0.25,4,0,0
9,18,secondhalf,3,One Contrast,0.25,1,4,0,0
9,18,secondhalf,4,Two Contrasts Shared,0.8571428571428571,0.42857142857142855,7,0,0
9,18,secondhalf,4,Two Contrasts Privileged,1,0.4,5,0,0
9,18,secondhalf,4,One Contrast,0.75,0,4,0,0
10,19,firsthalf,1,Two Contrasts Shared,0.8333333333333334,0.5,6,0,0
10,19,firsthalf,1,Two Contrasts Privileged,1,0.6666666666666666,3,0,0
10,19,firsthalf,1,One Contrast,1,0.3333333333333333,3,0,0
