pair,speaker,condition,prop_size_adj_use,num_trials,num_NA
3,5,No Contrast,0,16,0
3,5,One Contrast Privileged,0.0625,16,0
3,5,Two Contrasts Shared,1,32,0
3,6,No Contrast,0,16,0
3,6,One Contrast Privileged,0.9375,16,0
3,6,Two Contrasts Shared,1,32,1
4,7,No Contrast,0.0625,16,0
4,7,One Contrast Privileged,0.9333333333333333,16,1
4,7,Two Contrasts Shared,1,32,1
4,8,No Contrast,0,16,0
4,8,One Contrast Privileged,1,16,0
4,8,Two Contrasts Shared,1,32,0
5,9,No Contrast,0.0625,16,0
5,9,One Contrast Privileged,0.8125,16,0
5,9,Two Contrasts Shared,1,32,0
5,10,No Contrast,0.3125,16,0
5,10,One Contrast Privileged,1,16,0
5,10,Two Contrasts Shared,0.9375,32,0
6,11,No Contrast,0,16,0
6,11,One Contrast Privileged,1,16,0
6,11,Two Contrasts Shared,1,32,0
6,12,No Contrast,0,16,0
6,12,One Contrast Privileged,0.8125,16,0
6,12,Two Contrasts Shared,1,32,0
7,13,No Contrast,0,16,0
7,13,One Contrast Privileged,0.9375,16,0
7,13,Two Contrasts Shared,1,32,0
7,14,No Contrast,0,16,0
7,14,One Contrast Privileged,0.125,16,0
7,14,Two Contrasts Shared,1,32,0
8,15,No Contrast,0.125,16,0
8,15,One Contrast Privileged,0.875,16,0
8,15,Two Contrasts Shared,1,32,0
8,16,No Contrast,0.125,16,0
8,16,One Contrast Privileged,1,16,0
8,16,Two Contrasts Shared,1,32,0
9,17,No Contrast,0.375,16,0
9,17,One Contrast Privileged,0.8125,16,0
9,17,Two Contrasts Shared,0.96875,32,0
9,18,No Contrast,0.125,16,0
9,18,One Contrast Privileged,1,16,0
9,18,Two Contrasts Shared,1,32,0
10,19,No Contrast,0,16,0
10,19,One Contrast Privileged,1,16,0
10,19,Two Contrasts Shared,1,32,0
10,20,No Contrast,0,16,0
10,20,One Contrast Privileged,0.8666666666666667,16,1
10,20,Two Contrasts Shared,0.96875,32,0
11,21,No Contrast,0.0625,16,0
11,21,One Contrast Privileged,0.875,16,0
11,21,Two Contrasts Shared,1,32,0
11,22,No Contrast,0,16,0
11,22,One Contrast Privileged,0.9375,16,0
11,22,Two Contrasts Shared,1,32,0
14,27,No Contrast,0.0625,16,0
14,27,One Contrast Privileged,0.9375,16,0
14,27,Two Contrasts Shared,1,32,1
14,28,No Contrast,0.125,16,0
14,28,One Contrast Privileged,0.625,16,0
14,28,Two Contrasts Shared,1,32,0
15,29,No Contrast,0,16,0
15,29,One Contrast Privileged,0.125,16,0
15,29,Two Contrasts Shared,0.9375,32,0
15,30,No Contrast,0.0625,16,0
15,30,One Contrast Privileged,0.9375,16,0
15,30,Two Contrasts Shared,1,32,0
16,31,No Contrast,0.125,16,0
16,31,One Contrast Privileged,0.4375,16,0
16,31,Two Contrasts Shared,1,32,0
16,32,No Contrast,0,16,0
16,32,One Contrast Privileged,0.625,16,0
16,32,Two Contrasts Shared,1,32,0
18,35,No Contrast,0,16,0
18,35,One Contrast Privileged,0.4375,16,0
18,35,Two Contrasts Shared,1,32,0
18,36,No Contrast,0,16,0
18,36,One Contrast Privileged,0.0625,16,0
18,36,Two Contrasts Shared,1,32,1
19,37,No Contrast,0,16,0
19,37,One Contrast Privileged,0.3125,16,0
19,37,Two Contrasts Shared,1,32,0
19,38,No Contrast,0,16,0
19,38,One Contrast Privileged,0.9375,16,0
19,38,Two Contrasts Shared,0.9666666666666667,32,2
20,39,No Contrast,0.125,16,0
20,39,One Contrast Privileged,1,16,0
20,39,Two Contrasts Shared,0.96875,32,0
20,40,No Contrast,0.0625,16,0
20,40,One Contrast Privileged,0.0625,16,0
20,40,Two Contrasts Shared,0.96875,32,0
21,41,No Contrast,0,16,0
21,41,One Contrast Privileged,0.4375,16,0
21,41,Two Contrasts Shared,1,32,0
21,42,No Contrast,0.0625,16,0
21,42,One Contrast Privileged,0.1875,16,0
21,42,Two Contrasts Shared,1,32,0
22,43,No Contrast,0.375,16,0
22,43,One Contrast Privileged,1,16,0
22,43,Two Contrasts Shared,1,32,0
22,44,No Contrast,0,16,0
22,44,One Contrast Privileged,0,16,0
22,44,Two Contrasts Shared,1,32,0
23,45,No Contrast,0.3125,16,0
23,45,One Contrast Privileged,0.3125,16,0
23,45,Two Contrasts Shared,0.96875,32,0
23,46,No Contrast,0.0625,16,0
23,46,One Contrast Privileged,0.1875,16,0
23,46,Two Contrasts Shared,1,32,0
24,47,No Contrast,0,16,0
24,47,One Contrast Privileged,1,16,0
24,47,Two Contrasts Shared,0.96875,32,0
24,48,No Contrast,0,16,0
24,48,One Contrast Privileged,1,16,0
24,48,Two Contrasts Shared,0.96875,32,0
25,49,No Contrast,0.0625,16,0
25,49,One Contrast Privileged,0.6875,16,0
25,49,Two Contrasts Shared,1,32,0
25,50,No Contrast,0,16,0
25,50,One Contrast Privileged,0.9375,16,0
25,50,Two Contrasts Shared,1,32,0
27,53,No Contrast,0.0625,16,0
27,53,One Contrast Privileged,0.6875,16,0
27,53,Two Contrasts Shared,1,32,0
27,54,No Contrast,0.0625,16,0
27,54,One Contrast Privileged,0.4375,16,0
27,54,Two Contrasts Shared,1,32,0
28,55,No Contrast,0.125,16,0
28,55,One Contrast Privileged,0.75,16,0
28,55,Two Contrasts Shared,0.96875,32,0
28,56,No Contrast,0.1875,16,0
28,56,One Contrast Privileged,0.1875,16,0
28,56,Two Contrasts Shared,0.90625,32,0
30,59,No Contrast,0,16,0
30,59,One Contrast Privileged,0.375,16,0
30,59,Two Contrasts Shared,0.967741935483871,32,1
30,60,No Contrast,0.0625,16,0
30,60,One Contrast Privileged,1,16,0
30,60,Two Contrasts Shared,1,32,0
31,61,No Contrast,0,16,0
31,61,One Contrast Privileged,0.125,16,0
31,61,Two Contrasts Shared,0.96875,32,0
31,62,No Contrast,0.0625,16,0
31,62,One Contrast Privileged,0.1875,16,0
31,62,Two Contrasts Shared,1,32,0
32,63,No Contrast,0,16,0
32,63,One Contrast Privileged,0.1875,16,0
32,63,Two Contrasts Shared,0.967741935483871,32,1
32,64,No Contrast,0.0625,16,0
32,64,One Contrast Privileged,0.5,16,0
32,64,Two Contrasts Shared,0.96875,32,0
33,65,No Contrast,0.0625,16,0
33,65,One Contrast Privileged,0.8125,16,0
33,65,Two Contrasts Shared,0.96875,32,0
33,66,No Contrast,0,16,0
33,66,One Contrast Privileged,1,16,0
33,66,Two Contrasts Shared,0.9375,32,0
34,67,No Contrast,0,16,0
34,67,One Contrast Privileged,0.1875,16,0
34,67,Two Contrasts Shared,1,32,0
34,68,No Contrast,0,16,0
34,68,One Contrast Privileged,0,16,0
34,68,Two Contrasts Shared,1,32,0
35,69,No Contrast,0.5,16,0
35,69,One Contrast Privileged,1,16,0
35,69,Two Contrasts Shared,1,32,0
35,70,No Contrast,0.5625,16,0
35,70,One Contrast Privileged,0.75,16,0
35,70,Two Contrasts Shared,1,32,0
36,72,No Contrast,0.25,16,0
36,72,One Contrast Privileged,0.75,16,0
36,72,Two Contrasts Shared,1,32,0
36,73,No Contrast,0,16,0
36,73,One Contrast Privileged,0.3125,16,0
36,73,Two Contrasts Shared,0.96875,32,0
38,76,No Contrast,0.375,16,0
38,76,One Contrast Privileged,0.875,16,0
38,76,Two Contrasts Shared,0.96875,32,0
38,77,No Contrast,0.625,16,0
38,77,One Contrast Privileged,1,16,0
38,77,Two Contrasts Shared,1,32,0
