pair,speaker,crit_half,crit_order_bin,condition,prop_size_adj_use,num_trials,num_NA
3,5,firsthalf,1,No Contrast,0,3,0
3,5,firsthalf,1,One Contrast Privileged,0.3333333333333333,3,0
3,5,firsthalf,1,Two Contrasts Shared,1,7,0
3,5,firsthalf,2,No Contrast,0,4,0
3,5,firsthalf,2,One Contrast Privileged,0,4,0
3,5,firsthalf,2,Two Contrasts Shared,1,8,0
3,5,secondhalf,3,No Contrast,0,4,0
3,5,secondhalf,3,One Contrast Privileged,0,4,0
3,5,secondhalf,3,Two Contrasts Shared,1,8,0
3,5,secondhalf,4,No Contrast,0,5,0
3,5,secondhalf,4,One Contrast Privileged,0,5,0
3,5,secondhalf,4,Two Contrasts Shared,1,9,0
3,6,firsthalf,1,No Contrast,0,3,0
3,6,firsthalf,1,One Contrast Privileged,1,3,0
3,6,firsthalf,1,Two Contrasts Shared,1,7,1
3,6,firsthalf,2,No Contrast,0,4,0
3,6,firsthalf,2,One Contrast Privileged,0.75,4,0
3,6,firsthalf,2,Two Contrasts Shared,1,8,0
3,6,secondhalf,3,No Contrast,0,4,0
3,6,secondhalf,3,One Contrast Privileged,1,4,0
3,6,secondhalf,3,Two Contrasts Shared,1,8,0
3,6,secondhalf,4,No Contrast,0,5,0
3,6,secondhalf,4,One Contrast Privileged,1,5,0
3,6,secondhalf,4,Two Contrasts Shared,1,9,0
4,7,firsthalf,1,No Contrast,0,3,0
4,7,firsthalf,1,One Contrast Privileged,0.5,3,1
4,7,firsthalf,1,Two Contrasts Shared,1,7,1
4,7,firsthalf,2,No Contrast,0,4,0
4,7,firsthalf,2,One Contrast Privileged,1,4,0
4,7,firsthalf,2,Two Contrasts Shared,1,8,0
4,7,secondhalf,3,No Contrast,0,4,0
4,7,secondhalf,3,One Contrast Privileged,1,4,0
4,7,secondhalf,3,Two Contrasts Shared,1,8,0
4,7,secondhalf,4,No Contrast,0.2,5,0
4,7,secondhalf,4,One Contrast Privileged,1,5,0
4,7,secondhalf,4,Two Contrasts Shared,1,9,0
4,8,firsthalf,1,No Contrast,0,3,0
4,8,firsthalf,1,One Contrast Privileged,1,3,0
4,8,firsthalf,1,Two Contrasts Shared,1,7,0
4,8,firsthalf,2,No Contrast,0,4,0
4,8,firsthalf,2,One Contrast Privileged,1,4,0
4,8,firsthalf,2,Two Contrasts Shared,1,8,0
4,8,secondhalf,3,No Contrast,0,4,0
4,8,secondhalf,3,One Contrast Privileged,1,4,0
4,8,secondhalf,3,Two Contrasts Shared,1,8,0
4,8,secondhalf,4,No Contrast,0,5,0
4,8,secondhalf,4,One Contrast Privileged,1,5,0
4,8,secondhalf,4,Two Contrasts Shared,1,9,0
5,9,firsthalf,1,No Contrast,0,3,0
5,9,firsthalf,1,One Contrast Privileged,1,3,0
5,9,firsthalf,1,Two Contrasts Shared,1,7,0
5,9,firsthalf,2,No Contrast,0,4,0
5,9,firsthalf,2,One Contrast Privileged,1,4,0
5,9,firsthalf,2,Two Contrasts Shared,1,8,0
5,9,secondhalf,3,No Contrast,0.25,4,0
5,9,secondhalf,3,One Contrast Privileged,1,4,0
5,9,secondhalf,3,Two Contrasts Shared,1,8,0
5,9,secondhalf,4,No Contrast,0,5,0
5,9,secondhalf,4,One Contrast Privileged,0.4,5,0
5,9,secondhalf,4,Two Contrasts Shared,1,9,0
5,10,firsthalf,1,No Contrast,0.3333333333333333,3,0
5,10,firsthalf,1,One Contrast Privileged,1,3,0
5,10,firsthalf,1,Two Contrasts Shared,0.8571428571428571,7,0
5,10,firsthalf,2,No Contrast,0.5,4,0
5,10,firsthalf,2,One Contrast Privileged,1,4,0
5,10,firsthalf,2,Two Contrasts Shared,1,8,0
5,10,secondhalf,3,No Contrast,0,4,0
5,10,secondhalf,3,One Contrast Privileged,1,4,0
5,10,secondhalf,3,Two Contrasts Shared,1,8,0
5,10,secondhalf,4,No Contrast,0.4,5,0
5,10,secondhalf,4,One Contrast Privileged,1,5,0
5,10,secondhalf,4,Two Contrasts Shared,0.8888888888888888,9,0
6,11,firsthalf,1,No Contrast,0,3,0
6,11,firsthalf,1,One Contrast Privileged,1,3,0
6,11,firsthalf,1,Two Contrasts Shared,1,7,0
6,11,firsthalf,2,No Contrast,0,4,0
6,11,firsthalf,2,One Contrast Privileged,1,4,0
6,11,firsthalf,2,Two Contrasts Shared,1,8,0
6,11,secondhalf,3,No Contrast,0,4,0
6,11,secondhalf,3,One Contrast Privileged,1,4,0
6,11,secondhalf,3,Two Contrasts Shared,1,8,0
6,11,secondhalf,4,No Contrast,0,5,0
