pair,speaker,crit_half,condition,prop_size_adj_use,num_trials,num_NA
3,5,firsthalf,No Contrast,0,7,0
3,5,firsthalf,One Contrast Privileged,0.14285714285714285,7,0
3,5,firsthalf,Two Contrasts Shared,1,15,0
3,5,secondhalf,No Contrast,0,9,0
3,5,secondhalf,One Contrast Privileged,0,9,0
3,5,secondhalf,Two Contrasts Shared,1,17,0
3,6,firsthalf,No Contrast,0,7,0
3,6,firsthalf,One Contrast Privileged,0.8571428571428571,7,0
3,6,firsthalf,Two Contrasts Shared,1,15,1
3,6,secondhalf,No Contrast,0,9,0
3,6,secondhalf,One Contrast Privileged,1,9,0
3,6,secondhalf,Two Contrasts Shared,1,17,0
4,7,firsthalf,No Contrast,0,7,0
4,7,firsthalf,One Contrast Privileged,0.8333333333333334,7,1
4,7,firsthalf,Two Contrasts Shared,1,15,1
4,7,secondhalf,No Contrast,0.1111111111111111,9,0
4,7,secondhalf,One Contrast Privileged,1,9,0
4,7,secondhalf,Two Contrasts Shared,1,17,0
4,8,firsthalf,No Contrast,0,7,0
4,8,firsthalf,One Contrast Privileged,1,7,0
4,8,firsthalf,Two Contrasts Shared,1,15,0
4,8,secondhalf,No Contrast,0,9,0
4,8,secondhalf,One Contrast Privileged,1,9,0
4,8,secondhalf,Two Contrasts Shared,1,17,0
5,9,firsthalf,No Contrast,0,7,0
5,9,firsthalf,One Contrast Privileged,1,7,0
5,9,firsthalf,Two Contrasts Shared,1,15,0
5,9,secondhalf,No Contrast,0.1111111111111111,9,0
5,9,secondhalf,One Contrast Privileged,0.6666666666666666,9,0
5,9,secondhalf,Two Contrasts Shared,1,17,0
5,10,firsthalf,No Contrast,0.42857142857142855,7,0
5,10,firsthalf,One Contrast Privileged,1,7,0
5,10,firsthalf,Two Contrasts Shared,0.9333333333333333,15,0
5,10,secondhalf,No Contrast,0.2222222222222222,9,0
5,10,secondhalf,One Contrast Privileged,1,9,0
5,10,secondhalf,Two Contrasts Shared,0.9411764705882353,17,0
6,11,firsthalf,No Contrast,0,7,0
6,11,firsthalf,One Contrast Privileged,1,7,0
6,11,firsthalf,Two Contrasts Shared,1,15,0
6,11,secondhalf,No Contrast,0,9,0
6,11,secondhalf,One Contrast Privileged,1,9,0
6,11,secondhalf,Two Contrasts Shared,1,17,0
6,12,firsthalf,No Contrast,0,7,0
6,12,firsthalf,One Contrast Privileged,0.7142857142857143,7,0
6,12,firsthalf,Two Contrasts Shared,1,15,0
6,12,secondhalf,No Contrast,0,9,0
6,12,secondhalf,One Contrast Privileged,0.8888888888888888,9,0
6,12,secondhalf,Two Contrasts Shared,1,17,0
7,13,firsthalf,No Contrast,0,7,0
7,13,firsthalf,One Contrast Privileged,0.8571428571428571,7,0
7,13,firsthalf,Two Contrasts Shared,1,15,0
7,13,secondhalf,No Contrast,0,9,0
7,13,secondhalf,One Contrast Privileged,1,9,0
7,13,secondhalf,Two Contrasts Shared,1,17,0
7,14,firsthalf,No Contrast,0,7,0
7,14,firsthalf,One Contrast Privileged,0.2857142857142857,7,0
7,14,firsthalf,Two Contrasts Shared,1,15,0
7,14,secondhalf,No Contrast,0,9,0
7,14,secondhalf,One Contrast Privileged,0,9,0
7,14,secondhalf,Two Contrasts Shared,1,17,0
8,15,firsthalf,No Contrast,0.2857142857142857,7,0
8,15,firsthalf,One Contrast Privileged,1,7,0
8,15,firsthalf,Two Contrasts Shared,1,15,0
8,15,secondhalf,No Contrast,0,9,0
8,15,secondhalf,One Contrast Privileged,0.7777777777777778,9,0
8,15,secondhalf,Two Contrasts Shared,1,17,0
8,16,firsthalf,No Contrast,0.14285714285714285,7,0
8,16,firsthalf,One Contrast Privileged,1,7,0
8,16,firsthalf,Two Contrasts Shared,1,15,0
8,16,secondhalf,No Contrast,0.1111111111111111,9,0
8,16,secondhalf,One Contrast Privileged,1,9,0
8,16,secondhalf,Two Contrasts Shared,1,17,0
9,17,firsthalf,No Contrast,0,7,0
